biosample	assembly_accession	host	bioproject	infraspecific_name	assembly_level	genome_rep	ftp_path
SAMN02385424	GCA_000570875.1	Homo sapiens	PRJNA225102	strain=T16664	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/875/GCA_000570875.1_Stap_aure_T16664_V1
SAMN02385423	GCA_000570895.1	Homo sapiens	PRJNA225100	strain=S56450	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/895/GCA_000570895.1_Stap_aure_S56450_V1
SAMN02385422	GCA_000594265.1	Homo sapiens	PRJNA225099	strain=M77202	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/265/GCA_000594265.1_Stap_aure_M77202_V1
SAMN02385421	GCA_000570915.1	Homo sapiens	PRJNA225098	strain=M73703	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/915/GCA_000570915.1_Stap_aure_M73703_V1
SAMN02385420	GCA_000570935.1	Homo sapiens	PRJNA225096	strain=M73702	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/935/GCA_000570935.1_Stap_aure_M73702_V1
SAMN02385419	GCA_000570955.1	Homo sapiens	PRJNA225095	strain=M70099	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/955/GCA_000570955.1_Stap_aure_M70099_V1
SAMN02385418	GCA_000570975.1	Homo sapiens	PRJNA225094	strain=M70073	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/975/GCA_000570975.1_Stap_aure_M70073_V1
SAMN02385417	GCA_000570995.1	Homo sapiens	PRJNA225093	strain=M66673	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/570/995/GCA_000570995.1_Stap_aure_M66673_V1
SAMN02385416	GCA_000571015.1	Homo sapiens	PRJNA225092	strain=M66661	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/015/GCA_000571015.1_Stap_aure_M66661_V1
SAMN02385415	GCA_000571035.1	Homo sapiens	PRJNA225091	strain=M62699	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/035/GCA_000571035.1_Stap_aure_M62699_V1
SAMN02385414	GCA_000571055.1	Homo sapiens	PRJNA225090	strain=M56985	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/055/GCA_000571055.1_Stap_aure_M56985_V1
SAMN02385413	GCA_000594285.1	Homo sapiens	PRJNA225089	strain=M53356	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/285/GCA_000594285.1_Stap_aure_M53356_V1
SAMN02385412	GCA_000571075.1	Homo sapiens	PRJNA225088	strain=M53327	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/075/GCA_000571075.1_Stap_aure_M53327_V1
SAMN02385411	GCA_000594305.1	Homo sapiens	PRJNA225087	strain=M49691	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/305/GCA_000594305.1_Stap_aure_M49691_V1
SAMN02385410	GCA_000571095.1	Homo sapiens	PRJNA225086	strain=M46077	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/095/GCA_000571095.1_Stap_aure_M46077_V1
SAMN02385409	GCA_000571115.1	Homo sapiens	PRJNA225085	strain=M46070	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/115/GCA_000571115.1_Stap_aure_M46070_V1
SAMN02385408	GCA_000571135.1	Homo sapiens	PRJNA225084	strain=M46066	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/135/GCA_000571135.1_Stap_aure_M46066_V1
SAMN02385407	GCA_000594325.1	Homo sapiens	PRJNA225083	strain=M46058	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/325/GCA_000594325.1_Stap_aure_M46058_V1
SAMN02385406	GCA_000571155.1	Homo sapiens	PRJNA225082	strain=H75143	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/155/GCA_000571155.1_Stap_aure_H75143_V1
SAMN02385405	GCA_000571175.1	Homo sapiens	PRJNA225081	strain=H71553	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/175/GCA_000571175.1_Stap_aure_H71553_V1
SAMN02385404	GCA_000571195.1	Homo sapiens	PRJNA225080	strain=H71538	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/195/GCA_000571195.1_Stap_aure_H71538_V1
SAMN02385403	GCA_000571215.1	Homo sapiens	PRJNA225079	strain=H68256	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/215/GCA_000571215.1_Stap_aure_H68256_V1
SAMN02385402	GCA_000571235.1	Homo sapiens	PRJNA225078	strain=H68252	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/235/GCA_000571235.1_Stap_aure_H68252_V1
SAMN02385401	GCA_000571255.1	Homo sapiens	PRJNA225077	strain=H68244	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/255/GCA_000571255.1_Stap_aure_H68244_V1
SAMN02385400	GCA_000571275.1	Homo sapiens	PRJNA225076	strain=H64967	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/275/GCA_000571275.1_Stap_aure_H64967_V1
SAMN02385399	GCA_000571295.1	Homo sapiens	PRJNA225075	strain=H64962	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/295/GCA_000571295.1_Stap_aure_H64962_V1
SAMN02385398	GCA_000571315.1	Homo sapiens	PRJNA225074	strain=H64941	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/315/GCA_000571315.1_Stap_aure_H64941_V1
SAMN02385397	GCA_000594345.1	Homo sapiens	PRJNA225073	strain=H58198	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/345/GCA_000594345.1_Stap_aure_H58198_V1
SAMN02385396	GCA_000571335.1	Homo sapiens	PRJNA225072	strain=H58191	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/335/GCA_000571335.1_Stap_aure_H58191_V1
SAMN02385395	GCA_000571355.1	Homo sapiens	PRJNA225071	strain=H58183	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/355/GCA_000571355.1_Stap_aure_H58183_V1
SAMN02385394	GCA_000594365.1	Homo sapiens	PRJNA225070	strain=H58177	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/365/GCA_000594365.1_Stap_aure_H58177_V1
SAMN02385393	GCA_000571375.1	Homo sapiens	PRJNA225069	strain=H58165	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/375/GCA_000571375.1_Stap_aure_H58165_V1
SAMN02385392	GCA_000594385.1	Homo sapiens	PRJNA225068	strain=H51158	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/385/GCA_000594385.1_Stap_aure_H51158_V1
SAMN02385391	GCA_000571395.1	Homo sapiens	PRJNA225067	strain=H47671	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/395/GCA_000571395.1_Stap_aure_H47671_V1
SAMN02385390	GCA_000571415.1	Homo sapiens	PRJNA225066	strain=F88405	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/415/GCA_000571415.1_Stap_aure_F88405_V1
SAMN02385389	GCA_000571435.1	Homo sapiens	PRJNA225065	strain=F88387	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/435/GCA_000571435.1_Stap_aure_F88387_V1
SAMN02385388	GCA_000571455.1	Homo sapiens	PRJNA225064	strain=F88375	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/455/GCA_000571455.1_Stap_aure_F88375_V1
SAMN02385387	GCA_000571475.1	Homo sapiens	PRJNA225063	strain=F88369	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/475/GCA_000571475.1_Stap_aure_F88369_V1
SAMN02385386	GCA_000571495.1	Homo sapiens	PRJNA225062	strain=F84763	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/495/GCA_000571495.1_Stap_aure_F84763_V1
SAMN02385385	GCA_000571515.1	Homo sapiens	PRJNA225061	strain=F84732	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/515/GCA_000571515.1_Stap_aure_F84732_V1
SAMN02385384	GCA_000571535.1	Homo sapiens	PRJNA225060	strain=F81389	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/535/GCA_000571535.1_Stap_aure_F81389_V1
SAMN02385383	GCA_000571555.1	Homo sapiens	PRJNA225059	strain=F81381	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/555/GCA_000571555.1_Stap_aure_F81381_V1
SAMN02385382	GCA_000571575.1	Homo sapiens	PRJNA225058	strain=F77974	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/575/GCA_000571575.1_Stap_aure_F77974_V1
SAMN02385381	GCA_000571595.1	Homo sapiens	PRJNA225057	strain=F77967	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/595/GCA_000571595.1_Stap_aure_F77967_V1
SAMN02385380	GCA_000571615.1	Homo sapiens	PRJNA225056	strain=F77960	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/615/GCA_000571615.1_Stap_aure_F77960_V1
SAMN02385379	GCA_000594405.1	Homo sapiens	PRJNA225055	strain=F77942	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/405/GCA_000594405.1_Stap_aure_F77942_V1
SAMN02385378	GCA_000571635.1	Homo sapiens	PRJNA225054	strain=F77919	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/635/GCA_000571635.1_Stap_aure_F77919_V1
SAMN02385377	GCA_000571655.1	Homo sapiens	PRJNA225053	strain=F77917	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/655/GCA_000571655.1_Stap_aure_F77917_V1
SAMN02385376	GCA_000571675.1	Homo sapiens	PRJNA225052	strain=F29997	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/675/GCA_000571675.1_Stap_aure_F29997_V1
SAMN02385375	GCA_000571695.1	Homo sapiens	PRJNA225051	strain=F29993	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/695/GCA_000571695.1_Stap_aure_F29993_V1
SAMN02385374	GCA_000571715.1	Homo sapiens	PRJNA225050	strain=F29982	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/715/GCA_000571715.1_Stap_aure_F29982_V1
SAMN02385373	GCA_000571735.1	Homo sapiens	PRJNA225049	strain=F26884	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/735/GCA_000571735.1_Stap_aure_F26884_V1
SAMN02385372	GCA_000594425.1	Homo sapiens	PRJNA225048	strain=F26873	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/425/GCA_000594425.1_Stap_aure_F26873_V1
SAMN02385371	GCA_000571755.1	Homo sapiens	PRJNA225047	strain=F26858	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/755/GCA_000571755.1_Stap_aure_F26858_V1
SAMN02385370	GCA_000571775.1	Homo sapiens	PRJNA225046	strain=F23368	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/775/GCA_000571775.1_Stap_aure_F23368_V1
SAMN02385369	GCA_000571795.1	Homo sapiens	PRJNA225045	strain=F23353	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/795/GCA_000571795.1_Stap_aure_F23353_V1
SAMN02385368	GCA_000594445.1	Homo sapiens	PRJNA225044	strain=F23347	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/445/GCA_000594445.1_Stap_aure_F23347_V1
SAMN02385367	GCA_000594465.1	Homo sapiens	PRJNA225043	strain=F23336	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/465/GCA_000594465.1_Stap_aure_F23336_V1
SAMN02385366	GCA_000571815.1	Homo sapiens	PRJNA225042	strain=F20115	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/815/GCA_000571815.1_Stap_aure_F20115_V1
SAMN02385365	GCA_000594485.1	Homo sapiens	PRJNA225041	strain=F20105	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/594/485/GCA_000594485.1_Stap_aure_F20105_V1
SAMN02385364	GCA_000571835.1	Homo sapiens	PRJNA225040	strain=F16470	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/835/GCA_000571835.1_Stap_aure_F16470_V1
SAMN02385363	GCA_000571855.1	Homo sapiens	PRJNA225039	strain=F16432	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/855/GCA_000571855.1_Stap_aure_F16432_V1
SAMN02385362	GCA_000571875.1	Homo sapiens	PRJNA225038	strain=F13027	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/875/GCA_000571875.1_Stap_aure_F13027_V1
SAMN02385361	GCA_000571895.1	Homo sapiens	PRJNA225037	strain=F13022	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/571/895/GCA_000571895.1_Stap_aure_F13022_V1
SAMN02383835	GCA_000562975.1	Homo sapiens	PRJNA224546	strain=T16117	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/975/GCA_000562975.1_Stap_aure_T16117_V1
SAMN02383834	GCA_000562955.1	Homo sapiens	PRJNA224545	strain=S39411	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/955/GCA_000562955.1_Stap_aure_S39411_V1
SAMN02383833	GCA_000562935.1	Homo sapiens	PRJNA224544	strain=T12818	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/935/GCA_000562935.1_Stap_aure_T12818_V1
SAMN02383832	GCA_000562915.1	Homo sapiens	PRJNA224543	strain=T12805	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/915/GCA_000562915.1_Stap_aure_T12805_V1
SAMN02383831	GCA_000562895.1	Homo sapiens	PRJNA224542	strain=F81035	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/895/GCA_000562895.1_Stap_aure_F81035_V1
SAMN02383830	GCA_000577125.1	Homo sapiens	PRJNA224541	strain=F31094	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/125/GCA_000577125.1_Stap_aure_F31094_V1
SAMN02383829	GCA_000577105.1	Homo sapiens	PRJNA224540	strain=H44713	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/105/GCA_000577105.1_Stap_aure_H44713_V1
SAMN02383828	GCA_000562875.1	Homo sapiens	PRJNA224539	strain=S39407	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/875/GCA_000562875.1_Stap_aure_S39407_V1
SAMN02383827	GCA_000562855.1	Homo sapiens	PRJNA224538	strain=H48054	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/855/GCA_000562855.1_Stap_aure_H48054_V1
SAMN02383826	GCA_000562835.1	Homo sapiens	PRJNA224537	strain=H48052	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/835/GCA_000562835.1_Stap_aure_H48052_V1
SAMN02383825	GCA_000562815.1	Homo sapiens	PRJNA224536	strain=F77710	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/815/GCA_000562815.1_Stap_aure_F77710_V1
SAMN02383824	GCA_000577085.1	Homo sapiens	PRJNA224535	strain=H41336	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/085/GCA_000577085.1_Stap_aure_H41336_V1
SAMN02383823	GCA_000562795.1	Homo sapiens	PRJNA224534	strain=H37781	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/795/GCA_000562795.1_Stap_aure_H37781_V1
SAMN02383822	GCA_000562775.1	Homo sapiens	PRJNA224533	strain=H37776	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/775/GCA_000562775.1_Stap_aure_H37776_V1
SAMN02383821	GCA_000577065.1	Homo sapiens	PRJNA224532	strain=F74039	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/065/GCA_000577065.1_Stap_aure_F74039_V1
SAMN02383820	GCA_000577045.1	Homo sapiens	PRJNA224531	strain=F74035	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/045/GCA_000577045.1_Stap_aure_F74035_V1
SAMN02383819	GCA_000577025.1	Homo sapiens	PRJNA224530	strain=F77709	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/025/GCA_000577025.1_Stap_aure_F77709_V1
SAMN02383818	GCA_000562755.1	Homo sapiens	PRJNA224529	strain=F74023	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/755/GCA_000562755.1_Stap_aure_F74023_V1
SAMN02383817	GCA_000593745.1	Homo sapiens	PRJNA224528	strain=M44988	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/593/745/GCA_000593745.1_Stap_aure_M44988_V1
SAMN02383816	GCA_000577005.1	Homo sapiens	PRJNA224527	strain=M44987	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/577/005/GCA_000577005.1_Stap_aure_M44987_V1
SAMN02383815	GCA_000576985.1	Homo sapiens	PRJNA224526	strain=M44986	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/985/GCA_000576985.1_Stap_aure_M44986_V1
SAMN02383814	GCA_000562735.1	Homo sapiens	PRJNA224525	strain=W56246	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/735/GCA_000562735.1_Stap_aure_W56246_V1
SAMN02383813	GCA_000562715.1	Homo sapiens	PRJNA224524	strain=W56243	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/715/GCA_000562715.1_Stap_aure_W56243_V1
SAMN02383812	GCA_000562695.1	Homo sapiens	PRJNA224523	strain=W56227	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/695/GCA_000562695.1_Stap_aure_W56227_V1
SAMN02383811	GCA_000562675.1	Homo sapiens	PRJNA224522	strain=T72838	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/675/GCA_000562675.1_Stap_aure_T72838_V1
SAMN02383810	GCA_000593725.1	Homo sapiens	PRJNA224521	strain=T72814	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/593/725/GCA_000593725.1_Stap_aure_T72814_V1
SAMN02383809	GCA_000576965.1	Homo sapiens	PRJNA224520	strain=W48973	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/965/GCA_000576965.1_Stap_aure_W48973_V1
SAMN02383808	GCA_000576945.1	Homo sapiens	PRJNA224519	strain=W48969	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/945/GCA_000576945.1_Stap_aure_W48969_V1
SAMN02383807	GCA_000562655.1	Homo sapiens	PRJNA224518	strain=H23830	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/655/GCA_000562655.1_Stap_aure_H23830_V1
SAMN02383806	GCA_000562635.1	Homo sapiens	PRJNA224517	strain=H23829	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/635/GCA_000562635.1_Stap_aure_H23829_V1
SAMN02383805	GCA_000562615.1	Homo sapiens	PRJNA224516	strain=T49833	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/615/GCA_000562615.1_Stap_aure_T49833_V1
SAMN02383804	GCA_000576925.1	Homo sapiens	PRJNA224515	strain=H79484	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/925/GCA_000576925.1_Stap_aure_H79484_V1
SAMN02383803	GCA_000565095.1	Homo sapiens	PRJNA224514	strain=H79477	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/565/095/GCA_000565095.1_Stap_aure_H79477_V1
SAMN02383802	GCA_000562585.1	Homo sapiens	PRJNA224513	strain=T45945	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/585/GCA_000562585.1_Stap_aure_T45945_V1
SAMN02383801	GCA_000576905.1	Homo sapiens	PRJNA224512	strain=T45940	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/905/GCA_000576905.1_Stap_aure_T45940_V1
SAMN02383800	GCA_000562565.1	Homo sapiens	PRJNA224511	strain=W20433	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/565/GCA_000562565.1_Stap_aure_W20433_V1
SAMN02383799	GCA_000562545.1	Homo sapiens	PRJNA224510	strain=H71781	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/545/GCA_000562545.1_Stap_aure_H71781_V1
SAMN02383798	GCA_000593705.1	Homo sapiens	PRJNA224509	strain=F27254	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/593/705/GCA_000593705.1_Stap_aure_F27254_V1
SAMN02383797	GCA_000593685.1	Homo sapiens	PRJNA224508	strain=F27253	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/593/685/GCA_000593685.1_Stap_aure_F27253_V1
SAMN02383796	GCA_000562525.1	Homo sapiens	PRJNA224507	strain=H71785	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/525/GCA_000562525.1_Stap_aure_H71785_V1
SAMN02383795	GCA_000562505.1	Homo sapiens	PRJNA224506	strain=W76127	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/505/GCA_000562505.1_Stap_aure_W76127_V1
SAMN02383794	GCA_000562485.1	Homo sapiens	PRJNA224505	strain=H57815	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/485/GCA_000562485.1_Stap_aure_H57815_V1
SAMN02383793	GCA_000576875.1	Homo sapiens	PRJNA224504	strain=W82310	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/875/GCA_000576875.1_Stap_aure_W82310_V1
SAMN02383792	GCA_000562465.1	Homo sapiens	PRJNA224503	strain=W82303	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/465/GCA_000562465.1_Stap_aure_W82303_V1
SAMN02383791	GCA_000562445.1	Homo sapiens	PRJNA224502	strain=T16281	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/445/GCA_000562445.1_Stap_aure_T16281_V1
SAMN02383790	GCA_000562425.1	Homo sapiens	PRJNA224501	strain=S11444	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/425/GCA_000562425.1_Stap_aure_S11444_V1
SAMN02383789	GCA_000562405.1	Homo sapiens	PRJNA224500	strain=F92765	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/405/GCA_000562405.1_Stap_aure_F92765_V1
SAMN02383788	GCA_000562385.1	Homo sapiens	PRJNA224499	strain=F92753	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/385/GCA_000562385.1_Stap_aure_F92753_V1
SAMN02383787	GCA_000562365.1	Homo sapiens	PRJNA224498	strain=H54403	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/365/GCA_000562365.1_Stap_aure_H54403_V1
SAMN02383786	GCA_000562345.1	Homo sapiens	PRJNA224497	strain=W79328	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/345/GCA_000562345.1_Stap_aure_W79328_V1
SAMN02383785	GCA_000562325.1	Homo sapiens	PRJNA224496	strain=T12923	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/325/GCA_000562325.1_Stap_aure_T12923_V1
SAMN02383783	GCA_000562305.1	Homo sapiens	PRJNA224494	strain=F89468	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/305/GCA_000562305.1_Stap_aure_F89468_V1
SAMN02383782	GCA_000562285.1	Homo sapiens	PRJNA224493	strain=F89441	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/285/GCA_000562285.1_Stap_aure_F89441_V1
SAMN02383781	GCA_000562265.1	Homo sapiens	PRJNA224492	strain=T87972	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/265/GCA_000562265.1_Stap_aure_T87972_V1
SAMN02383780	GCA_000562245.1	Homo sapiens	PRJNA224491	strain=T87965	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/245/GCA_000562245.1_Stap_aure_T87965_V1
SAMN02383779	GCA_000593665.1	Homo sapiens	PRJNA224490	strain=F86379	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/593/665/GCA_000593665.1_Stap_aure_F86379_V1
SAMN02383778	GCA_000562225.1	Homo sapiens	PRJNA224489	strain=T81559	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/225/GCA_000562225.1_Stap_aure_T81559_V1
SAMN02383777	GCA_000562205.1	Homo sapiens	PRJNA224488	strain=H48646	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/205/GCA_000562205.1_Stap_aure_H48646_V1
SAMN02383776	GCA_000562185.1	Homo sapiens	PRJNA224487	strain=H48649	Scaffold	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/562/185/GCA_000562185.1_Stap_aure_H48649_V1
